user_id,username,real_name,email,phone,age,gender,height_cm,initial_weight_kg,fitness_goal,role,created_at
16,yeming16,李璐,eliao@example.com,13436996211,48,女,171.7,49.8,减脂,STUDENT,2025-07-26T09:32:47.556744
17,chengjing17,王丽,xiongjie@example.net,15332011374,21,男,181.7,77.2,减重,STUDENT,2025-05-12T09:32:47.556935
18,jiangyang18,陈杰,yanyang@example.org,15645110375,52,男,179.7,62.1,减重,STUDENT,2025-08-15T09:32:47.557101
19,kli19,朱欢,linlei@example.com,15510152198,55,女,170.5,52.4,减重,STUDENT,2025-07-31T09:32:47.557278
20,panqiang20,常帆,jdeng@example.com,13050058982,52,男,183.7,83.0,增肌,STUDENT,2025-10-20T09:32:47.557449
21,vqin21,白阳,luochao@example.net,18534857913,51,男,178.0,86.4,减脂,STUDENT,2025-08-07T09:32:47.557616
22,juan7622,唐梅,lianglei@example.net,13639598770,36,女,160.0,50.7,减脂,STUDENT,2025-10-19T09:32:47.557785
23,chao4823,耿瑜,wenwei@example.net,13461175008,36,女,169.6,66.8,减重,STUDENT,2025-04-18T09:32:47.558229
24,yxue24,程娟,fangmin@example.com,13163916490,50,男,180.7,91.3,增肌,STUDENT,2025-09-10T09:32:47.558447
25,chao7625,刘秀珍,vcui@example.org,18532043445,23,女,167.9,62.7,减重,STUDENT,2025-01-28T09:32:47.558691
26,szhu26,王桂芳,changqiang@example.org,18995955956,45,男,175.6,83.5,减脂,STUDENT,2025-11-29T09:32:47.558874
27,qiangzhao27,陈兵,xiuying15@example.org,15557945487,23,女,167.7,59.1,增肌,STUDENT,2025-05-11T09:32:47.559062
28,xyao28,张秀珍,jieli@example.org,18172766236,31,女,156.5,66.7,增肌,STUDENT,2025-02-04T09:32:47.559261
29,min3829,宋海燕,yangtian@example.com,13340417265,43,女,172.3,56.4,减脂,STUDENT,2025-12-01T09:32:47.559460
30,jun9830,吕杰,pengli@example.org,15608101213,21,男,166.4,84.1,减重,STUDENT,2025-09-19T09:32:47.559646
31,leipan31,张敏,gaona@example.net,15721305664,36,女,173.5,57.6,减重,STUDENT,2025-08-28T09:32:47.559863
32,qiang9032,张明,cxie@example.net,15379822177,31,男,174.7,85.5,减脂,STUDENT,2025-12-09T09:32:47.560034
33,fkang33,胡鑫,leijie@example.org,13464718482,36,男,180.8,84.3,减脂,STUDENT,2025-07-25T09:32:47.560202
34,wanping34,崔雪,lei15@example.com,15299177619,25,女,173.1,73.7,减重,STUDENT,2025-09-16T09:32:47.560368
35,xiaxiuying35,陈成,xcao@example.net,13294761041,31,女,155.0,48.7,增肌,STUDENT,2025-04-17T09:32:47.560535
36,gangpeng36,李琳,lwei@example.net,18842726276,32,女,158.9,66.8,减重,STUDENT,2025-02-13T09:32:47.560701
37,yong6837,李畅,houfang@example.org,18798211224,35,女,164.9,74.3,减重,STUDENT,2025-11-26T09:32:47.560897
38,tao2638,曾刚,juanyao@example.org,18628181515,38,女,166.4,61.3,减脂,STUDENT,2025-06-28T09:32:47.561070
39,yong9639,毛帅,nawen@example.com,13667839365,45,男,169.0,88.1,增肌,STUDENT,2025-08-26T09:32:47.561234
40,kongna40,王飞,gyang@example.org,13049366839,28,男,167.0,91.1,减重,STUDENT,2025-10-01T09:32:47.561406
41,jing2841,崔玉,juanwen@example.net,13550438177,43,男,177.2,65.5,减重,STUDENT,2025-02-27T09:32:47.561574
42,natan42,关莹,houxiulan@example.org,15942070344,30,男,177.6,82.7,减脂,STUDENT,2025-05-31T09:32:47.561745
43,tianguiying43,王旭,nlu@example.org,13467769215,27,男,177.0,88.9,减脂,STUDENT,2025-03-10T09:32:47.561913
44,wei0944,管丽娟,guiying57@example.com,15049718868,44,女,159.6,69.3,减脂,STUDENT,2025-10-16T09:32:47.562082
45,guiying0745,郝平,kbai@example.com,15380615489,35,男,168.3,64.4,增肌,STUDENT,2025-12-14T09:32:47.562249
46,changmin46,王桂兰,mdong@example.net,13742879264,49,男,180.3,88.2,减重,STUDENT,2025-04-30T09:32:47.562417
47,fang2747,虞玉,isong@example.com,18872219592,23,男,165.9,70.8,增肌,STUDENT,2025-10-19T09:32:47.562592
48,dmo48,金坤,llin@example.net,14723505981,28,男,182.8,68.8,减重,STUDENT,2025-06-12T09:32:47.562808
49,ulai49,李阳,chaoshen@example.net,13398772587,22,男,172.8,73.1,减脂,STUDENT,2025-05-02T09:32:47.563025
50,xiongfang50,郑丽,lei79@example.org,13413452238,26,男,165.5,83.8,增肌,STUDENT,2025-03-25T09:32:47.563271
51,yhan51,李雪,na20@example.net,13404419341,22,女,169.2,59.9,减脂,STUDENT,2025-02-17T09:32:47.563496
52,eluo52,王倩,juan53@example.com,14517782527,51,女,162.5,51.7,减重,STUDENT,2025-10-18T09:32:47.563704
53,pxue53,吴桂英,yong20@example.net,18665502756,38,男,168.1,63.7,减脂,STUDENT,2025-04-22T09:32:47.563918
54,shaojuan54,杨璐,gfan@example.com,13665639580,37,女,159.8,53.0,减脂,STUDENT,2025-10-14T09:32:47.564116
55,juan5455,殷红霞,fanli@example.org,13763889863,50,女,174.8,63.3,减脂,STUDENT,2025-10-15T09:32:47.564300
56,juanyu56,曲磊,rchang@example.net,18680896524,49,女,166.3,52.9,增肌,STUDENT,2025-02-20T09:32:47.564487
57,zhengmin57,廖颖,pguo@example.org,18297033014,33,女,167.5,68.8,增肌,STUDENT,2025-05-09T09:32:47.564665
58,yongluo58,曾丽,xia07@example.org,13588014266,20,女,161.4,62.3,减重,STUDENT,2025-07-04T09:32:47.564848
59,ochang59,唐晨,dlu@example.org,15539982966,35,男,170.7,82.6,减脂,STUDENT,2025-04-09T09:32:47.565196
60,cuilei60,刘杨,yongwen@example.com,13927266899,31,女,160.7,69.5,减脂,STUDENT,2025-10-09T09:32:47.565492
61,scui61,杜秀兰,icui@example.net,13985275880,51,女,163.4,70.3,增肌,STUDENT,2025-05-24T09:32:47.565753
62,ehan62,杨林,ping47@example.com,18161855985,30,男,165.7,83.2,减重,STUDENT,2025-04-16T09:32:47.566030
63,jing9163,王凯,weiwei@example.com,15329138381,40,男,177.3,71.1,减重,STUDENT,2025-02-07T09:32:47.566325
64,yongmeng64,张秀芳,efang@example.com,15558214831,53,女,163.3,74.7,增肌,STUDENT,2025-04-14T09:32:47.566623
65,ema65,席倩,xiulanguo@example.org,14584869881,31,男,166.9,93.7,减脂,STUDENT,2025-12-01T09:32:47.566915
66,xiuying1266,陈梅,zougang@example.com,18529581001,55,女,163.8,65.8,减重,STUDENT,2025-06-07T09:32:47.567173
67,vlin67,周佳,houyong@example.com,18920602820,45,男,182.0,73.3,增肌,STUDENT,2025-06-13T09:32:47.567431
68,ping4668,陈明,zhoulei@example.net,15912184631,45,男,183.9,71.6,增肌,STUDENT,2025-05-03T09:32:47.567687
69,cxiao69,赵雪,fangxiang@example.com,15681846257,23,男,178.6,61.8,减脂,STUDENT,2025-06-05T09:32:47.567949
70,juan4670,鲜斌,xiulangao@example.com,18136617732,50,女,168.2,68.0,减脂,STUDENT,2025-06-20T09:32:47.568216
71,hfeng71,周建华,jie33@example.org,13341605969,48,男,169.7,87.9,增肌,STUDENT,2025-04-15T09:32:47.568471
72,nahou72,朱瑞,duwei@example.net,14586874265,41,女,167.3,67.0,减重,STUDENT,2025-08-12T09:32:47.568720
73,taomin73,秦秀华,hufang@example.org,18268264683,44,男,183.2,64.4,增肌,STUDENT,2025-10-18T09:32:47.569021
74,hbai74,何丽,suchao@example.com,14597898703,41,男,179.7,84.6,增肌,STUDENT,2025-05-28T09:32:47.569273
75,lwei75,王兰英,yong93@example.org,18250829873,27,女,174.5,65.4,减脂,STUDENT,2025-07-09T09:32:47.569533
76,gangqiao76,曾桂芝,yanfang@example.org,15161003351,30,男,166.2,76.6,减重,STUDENT,2025-10-20T09:32:47.569794
77,guiyingzhu77,邹建,jieqin@example.org,14770134491,42,男,171.3,71.5,增肌,STUDENT,2025-08-01T09:32:47.570066
78,zhongchao78,王宇,panyang@example.com,13934355295,32,男,170.8,86.3,减脂,STUDENT,2025-09-30T09:32:47.570327
79,xiayong79,崔秀珍,changjun@example.org,18567715936,54,男,177.0,67.7,增肌,STUDENT,2025-05-19T09:32:47.570627
80,heguiying80,马丹,laijuan@example.net,13245423490,33,男,176.8,93.8,减脂,STUDENT,2025-08-17T09:32:47.570887
81,taomo81,庞想,qianghan@example.com,13864289731,48,女,174.4,73.4,增肌,STUDENT,2025-01-26T09:32:47.571131
82,yongtian82,杨桂珍,junyang@example.net,15993948455,41,男,171.0,61.6,减脂,STUDENT,2025-03-21T09:32:47.571378
83,jding83,练伟,moming@example.com,15979416676,40,男,169.3,76.1,减重,STUDENT,2025-11-07T09:32:47.571621
84,jietao84,张瑞,gmeng@example.com,18286261863,35,男,181.5,78.7,减脂,STUDENT,2025-05-27T09:32:47.571874
85,izhu85,李磊,qiang83@example.com,13557991480,43,男,179.0,61.7,增肌,STUDENT,2025-05-31T09:32:47.572113
86,taohan86,刘想,tchen@example.org,13180585178,49,女,157.0,60.8,增肌,STUDENT,2025-11-25T09:32:47.572356
87,xuqiang87,何英,wxiang@example.net,13175799935,54,女,161.7,53.4,减脂,STUDENT,2025-12-10T09:32:47.572595
88,xiulan2188,傅欣,fang71@example.net,15130092483,44,男,165.4,75.4,减重,STUDENT,2025-10-20T09:32:47.572835
89,huangyong89,鲁杨,qianxiuying@example.net,13928455670,48,女,170.4,49.1,减脂,STUDENT,2025-11-10T09:32:47.573094
90,ming6190,龚玉华,liaoyan@example.net,13571308590,48,男,173.4,67.4,减重,STUDENT,2025-09-01T09:32:47.573337
91,fuyong91,谭金凤,yan04@example.com,18033239385,36,女,161.5,55.6,减重,STUDENT,2025-05-12T09:32:47.573578
92,minfeng92,何瑞,junluo@example.org,15221937504,39,男,184.6,66.2,减脂,STUDENT,2025-05-01T09:32:47.573824
93,heping93,王华,yang50@example.org,15155726715,40,女,162.2,75.0,减重,STUDENT,2025-10-12T09:32:47.574164
94,yangu94,徐婷婷,yong59@example.org,13419422436,21,男,172.1,86.8,减脂,STUDENT,2025-11-22T09:32:47.574444
95,caifang95,鲁斌,yiguiying@example.com,13005803337,38,女,168.6,52.4,增肌,STUDENT,2025-11-30T09:32:47.574709
96,chao8596,吴龙,na86@example.com,15194781269,47,男,167.0,75.2,减重,STUDENT,2025-05-22T09:32:47.574982
97,leibai97,钟兰英,xiuying69@example.net,13540608833,42,男,167.7,93.3,增肌,STUDENT,2025-10-07T09:32:47.575264
98,gongchao98,申桂芳,mpan@example.org,13778917827,42,女,171.7,46.8,增肌,STUDENT,2025-07-09T09:32:47.575537
99,fugang99,白波,xuejun@example.com,15372835437,26,男,184.6,76.7,减重,STUDENT,2025-04-20T09:32:47.575798
100,fdeng100,王宇,ming23@example.com,15945952144,44,女,168.2,69.7,减重,STUDENT,2025-08-11T09:32:47.576053
101,yuxiuying101,陆强,junmo@example.net,18859322348,38,女,166.3,72.6,减重,STUDENT,2025-09-24T09:32:47.576304
102,hejie102,张辉,yluo@example.com,18652006554,29,女,164.1,69.9,减重,STUDENT,2025-10-08T09:32:47.576561
103,shaofang103,陈莹,zgong@example.net,13498288561,31,男,184.2,92.4,减脂,STUDENT,2025-09-25T09:32:47.576812
104,xiazheng104,赵艳,gangdeng@example.com,13744482584,30,女,164.2,63.3,减重,STUDENT,2025-09-20T09:32:47.577059
105,daitao105,林红梅,ping62@example.net,14509162446,38,男,174.2,68.0,增肌,STUDENT,2025-07-15T09:32:47.577302
106,taojing106,王浩,yang73@example.org,18536445457,18,男,179.3,76.0,减脂,STUDENT,2025-07-30T09:32:47.577564
107,gzhou107,尹秀珍,longyan@example.net,15707263158,33,女,158.0,71.0,增肌,STUDENT,2025-02-01T09:32:47.577811
108,ddai108,李玉珍,jie57@example.net,15845473012,20,女,173.0,56.2,增肌,STUDENT,2025-09-15T09:32:47.578050
109,wdong109,刘英,yan80@example.org,18784594103,31,女,173.3,65.4,增肌,STUDENT,2025-03-30T09:32:47.578291
110,huanglei110,冯雪梅,xjin@example.net,18925052730,55,男,173.6,92.5,减重,STUDENT,2025-05-07T09:32:47.578550
111,yong35111,唐丽娟,xia77@example.net,18152730529,40,女,169.4,70.5,增肌,STUDENT,2025-05-28T09:32:47.578789
112,opan112,李帅,minlong@example.com,15898820315,48,男,170.8,63.1,减重,STUDENT,2025-11-18T09:32:47.579028
113,jingzhang113,厉丽,yangjing@example.net,15709360749,28,女,174.5,58.2,减脂,STUDENT,2025-04-01T09:32:47.579283
114,uchen114,张云,yanmao@example.org,14771396866,51,男,180.0,62.0,减脂,STUDENT,2025-05-01T09:32:47.579556
115,min29115,赖欣,xiulan94@example.org,18163711913,36,女,166.7,54.3,增肌,STUDENT,2025-02-15T09:32:47.579775
116,juanluo116,芦晶,nadong@example.com,18814133531,22,男,182.5,63.5,减脂,STUDENT,2025-06-25T09:32:47.580071
117,xiuyingshen117,徐鹏,minzhang@example.org,13692066783,22,男,168.4,80.9,增肌,STUDENT,2025-12-04T09:32:47.580438
118,changxia118,杨凯,juan12@example.net,18619211911,33,男,172.0,82.2,增肌,STUDENT,2025-07-01T09:32:47.580829
119,baiyang119,胡红霞,jyan@example.com,13469972759,33,男,178.3,79.2,增肌,STUDENT,2025-02-12T09:32:47.581299
120,ming82120,何红霞,ihe@example.com,15706688993,27,男,170.6,61.4,增肌,STUDENT,2025-08-06T09:32:47.581689
121,shenjing121,徐杨,houping@example.org,13345175766,36,女,166.9,61.7,减脂,STUDENT,2025-05-12T09:32:47.582030
122,chao32122,蔡飞,zwen@example.com,13626771366,25,男,167.4,85.9,减脂,STUDENT,2025-02-12T09:32:47.582315
123,xiali123,曹倩,chao38@example.com,15334554173,33,男,167.4,74.6,增肌,STUDENT,2025-09-08T09:32:47.582607
124,rcheng124,郭婷,caojie@example.com,15219816329,27,男,174.8,73.1,减重,STUDENT,2025-06-01T09:32:47.582914
125,qinyang125,吴英,mingwei@example.com,15282498825,51,女,172.6,57.0,减重,STUDENT,2025-04-21T09:32:47.583206
126,dingming126,姚建,weiyan@example.net,14744880863,23,女,170.8,54.1,减脂,STUDENT,2025-06-26T09:32:47.583502
127,jun48127,张宇,na11@example.net,18745560500,45,男,175.3,78.2,增肌,STUDENT,2025-07-03T09:32:47.583783
128,mengqiang128,盖桂荣,chao35@example.org,18663202552,22,男,171.3,69.8,减脂,STUDENT,2025-05-04T09:32:47.584081
129,xlei129,孙秀云,zouping@example.com,15634874290,32,男,178.8,72.5,减重,STUDENT,2025-05-28T09:32:47.584389
130,edong130,顾莹,yangduan@example.net,18253490679,45,女,155.1,45.0,增肌,STUDENT,2025-03-24T09:32:47.584714
131,renxiulan131,郭英,fujie@example.org,15630840315,29,女,163.5,61.0,减脂,STUDENT,2025-11-11T09:32:47.585026
132,jiaqiang132,廖莉,cdeng@example.net,15375646309,49,男,176.4,70.2,减重,STUDENT,2025-11-20T09:32:47.585333
133,yang74133,李秀英,yyan@example.com,15010923813,25,女,170.2,52.4,增肌,STUDENT,2025-09-08T09:32:47.585621
134,denglei134,陈建,yong34@example.net,15702653186,21,男,173.7,61.7,减重,STUDENT,2025-07-06T09:32:47.585847
135,leidai135,李桂芳,zzeng@example.com,18019122394,23,女,169.4,47.6,减脂,STUDENT,2025-01-19T09:32:47.586038
136,yangyao136,嵇莹,xia16@example.org,18054345570,30,女,165.4,62.7,减重,STUDENT,2025-10-13T09:32:47.586218
137,wuxia137,陈娟,jie33@example.com,18756996251,33,女,165.3,50.9,减脂,STUDENT,2025-05-10T09:32:47.586416
138,fujing138,罗宇,gang57@example.org,18589512075,26,女,164.2,60.3,减脂,STUDENT,2025-04-10T09:32:47.586590
139,li16139,王芳,mingwei@example.org,15551956177,33,女,165.2,58.6,减重,STUDENT,2025-12-06T09:32:47.586760
140,iqin140,黄玉,qiangpan@example.com,18836045981,29,女,162.0,66.5,增肌,STUDENT,2025-01-24T09:32:47.586936
141,zhao141,唐建军,yanzou@example.com,13069464035,26,男,165.8,64.5,减重,STUDENT,2025-09-23T09:32:47.587103
142,jie00142,陈小红,dengyong@example.org,15377093790,52,女,159.8,61.7,减重,STUDENT,2025-10-02T09:32:47.587274
143,xiulan97143,王秀珍,minguo@example.org,13263973131,45,女,157.2,74.1,减重,STUDENT,2025-02-27T09:32:47.587445
144,gaoxiuying144,李春梅,yinfang@example.com,18241467676,48,女,171.2,61.7,减重,STUDENT,2025-10-14T09:32:47.587617
145,fang69145,邱红霞,houjuan@example.org,18286906850,42,男,173.3,84.1,减脂,STUDENT,2025-02-04T09:32:47.587782
146,huanggang146,陈华,xiaofang@example.com,18042784761,51,女,170.0,56.8,增肌,STUDENT,2025-10-26T09:32:47.587953
147,leifang147,郑龙,yangduan@example.net,14535345228,33,女,172.2,45.8,减脂,STUDENT,2025-11-02T09:32:47.588123
148,jiajie148,张宇,taotao@example.com,13084447905,50,男,175.4,67.8,增肌,STUDENT,2025-10-17T09:32:47.588288
149,yang18149,张丹,tianping@example.net,18970113691,55,男,179.6,74.5,减脂,STUDENT,2025-09-06T09:32:47.588457
150,na48150,黄琳,ddu@example.org,15183334554,34,男,171.1,62.8,减脂,STUDENT,2025-08-31T09:32:47.588625
151,junzou151,罗林,liaona@example.com,13395952312,47,女,159.4,49.4,减脂,STUDENT,2025-07-09T09:32:47.588797
152,linyang152,陈浩,kongping@example.net,18917814557,42,男,183.7,69.5,减重,STUDENT,2025-05-10T09:32:47.588961
153,xhu153,虞博,msong@example.org,18739097444,47,女,156.0,72.9,减重,STUDENT,2025-08-24T09:32:47.589133
154,yancai154,陈岩,juan24@example.org,13227830963,43,男,166.8,74.7,增肌,STUDENT,2025-08-20T09:32:47.589301
155,mingqin155,蔡阳,yansong@example.net,13558974486,41,女,165.7,65.6,减重,STUDENT,2025-12-14T09:32:47.589593
156,tzhang156,安浩,fdeng@example.com,13014913705,20,女,155.9,73.9,增肌,STUDENT,2025-02-18T09:32:47.589863
157,yanna157,李洁,liuxiuying@example.com,18926204235,47,女,172.1,72.9,减脂,STUDENT,2025-08-26T09:32:47.590121
158,xiayao158,储明,taoyi@example.com,13342632766,18,女,162.1,70.2,减脂,STUDENT,2025-11-05T09:32:47.590381
159,cfeng159,陈波,sungang@example.com,18005663836,44,男,184.7,62.2,增肌,STUDENT,2025-02-26T09:32:47.590625
160,malei160,李瑜,shiqiang@example.net,18045731492,52,男,177.2,88.7,增肌,STUDENT,2025-09-25T09:32:47.590876
161,xuyang161,姚霞,fangma@example.com,13783908856,49,女,161.5,63.0,减脂,STUDENT,2025-04-01T09:32:47.591124
162,zyan162,魏建国,xia03@example.net,15665652829,54,女,174.7,68.8,增肌,STUDENT,2025-07-07T09:32:47.591379
163,wsu163,刘晶,she@example.org,15953616860,33,女,174.1,61.0,增肌,STUDENT,2025-07-01T09:32:47.591616
164,huyang164,张英,ygong@example.net,15199694948,52,男,169.1,70.6,减重,STUDENT,2025-04-26T09:32:47.591861
165,mgu165,商坤,daijun@example.com,18659181710,35,女,156.5,72.3,减脂,STUDENT,2025-08-29T09:32:47.592104
166,namao166,叶林,yongzhong@example.org,13362632073,43,男,182.9,89.8,减脂,STUDENT,2025-08-02T09:32:47.592360
167,ganghuang167,王建国,nalu@example.net,13248862966,24,女,155.1,60.4,增肌,STUDENT,2025-10-29T09:32:47.592620
168,ping13168,邱芳,chao20@example.org,18926357118,37,女,172.4,52.2,减重,STUDENT,2025-02-16T09:32:47.592859
169,xuemin169,宋淑兰,hanna@example.org,13062110087,50,女,164.4,61.4,减重,STUDENT,2025-07-02T09:32:47.593102
170,xliu170,魏坤,jun31@example.org,15759926027,44,男,184.9,65.3,增肌,STUDENT,2025-01-28T09:32:47.593352
171,changxiulan171,廖辉,tyao@example.net,15275591297,26,女,172.1,72.7,减重,STUDENT,2025-02-28T09:32:47.593598
172,bliu172,邓桂珍,yang59@example.org,18123479132,22,男,172.0,90.7,减脂,STUDENT,2025-08-18T09:32:47.593836
173,osun173,谢明,wfeng@example.org,13682567768,20,女,161.7,70.2,减重,STUDENT,2025-05-17T09:32:47.594076
174,ydai174,钟洁,lidai@example.org,13208593960,52,女,172.3,52.0,减重,STUDENT,2025-04-24T09:32:47.594315
175,zouping175,武莹,wei50@example.com,18606186658,24,女,174.3,65.1,增肌,STUDENT,2025-04-20T09:32:47.594561
176,yongqiu176,李凤兰,fangxiao@example.net,14519348971,54,女,160.4,45.9,增肌,STUDENT,2025-11-08T09:32:47.594807
177,njiang177,刘燕,huangtao@example.org,13913029323,20,女,155.4,49.6,增肌,STUDENT,2025-03-16T09:32:47.595047
178,dwang178,张红,chao89@example.net,15230450709,47,男,181.8,66.1,增肌,STUDENT,2025-09-18T09:32:47.595288
179,haojuan179,刘刚,caixiuying@example.net,18951171292,41,女,169.3,65.6,减脂,STUDENT,2025-02-10T09:32:47.595545
180,yanzheng180,张玉华,qtan@example.com,15275180673,31,男,169.3,72.0,增肌,STUDENT,2025-04-13T09:32:47.595793
181,xhuang181,岳博,qiang30@example.org,15770299530,38,女,172.3,56.6,减脂,STUDENT,2025-05-15T09:32:47.596045
182,eduan182,郑莉,xiuyinglin@example.com,13133334755,39,女,174.8,65.7,减脂,STUDENT,2025-01-25T09:32:47.596296
183,chaoxia183,唐凤英,guiying06@example.org,18016741252,40,女,167.0,45.7,减重,STUDENT,2025-03-17T09:32:47.596659
184,kliao184,王秀云,fuyang@example.com,14558705433,53,女,172.7,69.8,减脂,STUDENT,2025-03-06T09:32:47.597051
185,wyin185,孟洋,elu@example.com,15251280414,23,男,180.5,90.5,减重,STUDENT,2025-07-23T09:32:47.597469
186,min51186,王兰英,renping@example.org,13222082084,47,女,162.6,50.5,减重,STUDENT,2025-07-12T09:32:47.597786
187,nasun187,卢丽娟,gang82@example.com,18882397690,31,女,161.7,45.8,减脂,STUDENT,2025-12-07T09:32:47.598077
188,xiongyong188,赵秀珍,chaolong@example.com,13930365790,37,男,173.3,68.5,减重,STUDENT,2025-09-17T09:32:47.598549
189,ksong189,郭龙,maoli@example.org,15205889383,22,男,184.8,72.0,增肌,STUDENT,2025-08-27T09:32:47.599033
190,weifu190,张宁,yaomin@example.com,15635953740,31,男,183.9,85.7,增肌,STUDENT,2025-05-03T09:32:47.599376
191,lei86191,林平,linjie@example.org,13562747248,19,女,171.2,63.2,减重,STUDENT,2025-01-20T09:32:47.599638
192,bxiang192,曹建军,hanxiuying@example.net,15740766825,51,男,166.7,69.0,减脂,STUDENT,2025-03-25T09:32:47.599900
193,ping87193,王亮,myin@example.net,15858064937,30,女,169.5,72.8,减重,STUDENT,2025-03-31T09:32:47.600179
194,yangjing194,罗东,wliao@example.org,13011960806,23,女,164.3,73.9,减脂,STUDENT,2025-07-03T09:32:47.600481
195,juan20195,霍丽娟,ktian@example.com,13124057129,43,男,166.9,76.5,减脂,STUDENT,2025-07-10T09:32:47.600766
196,weiyao196,党建华,dingfang@example.com,15020135751,26,男,181.4,62.4,增肌,STUDENT,2025-03-02T09:32:47.601041
197,juanfeng197,王平,dingguiying@example.org,13436464029,20,男,168.0,71.0,减脂,STUDENT,2025-07-26T09:32:47.601340
198,zjiang198,陈红霞,zchen@example.org,13491491182,49,女,165.4,63.1,减脂,STUDENT,2025-05-28T09:32:47.601588
199,xiuying69199,孙飞,guiyingmeng@example.org,15373313675,34,男,183.8,89.4,增肌,STUDENT,2025-07-20T09:32:47.601834
200,na46200,王玉兰,fujing@example.org,13105884527,30,男,165.7,81.9,减重,STUDENT,2025-06-30T09:32:47.602085
201,kongxia201,刘楠,yqin@example.com,13535228319,47,男,168.6,90.1,增肌,STUDENT,2025-03-11T09:32:47.602334
202,yan97202,卢俊,wei85@example.com,15906434274,35,男,174.8,73.8,增肌,STUDENT,2025-02-17T09:32:47.602584
203,fang97203,陈丽,byang@example.org,18287350908,53,男,179.4,87.3,减脂,STUDENT,2025-09-09T09:32:47.602825
204,min95204,李丹,xia27@example.org,13531304911,54,女,158.0,62.0,减脂,STUDENT,2025-05-31T09:32:47.603064
205,mingmo205,王辉,xueyan@example.net,18771674131,44,女,164.5,53.5,减重,STUDENT,2025-01-21T09:32:47.603314
206,zengwei206,胡浩,zxie@example.net,15769667319,43,男,169.1,72.6,增肌,STUDENT,2025-10-18T09:32:47.603569
207,yuanping207,曾辉,phan@example.com,15374816595,27,男,180.3,87.1,减重,STUDENT,2025-01-27T09:32:47.603813
208,juanyang208,胡琴,vding@example.com,18274684015,21,女,162.2,73.3,增肌,STUDENT,2025-09-08T09:32:47.604057
209,xiaofang209,蔡梅,juan83@example.net,15285765425,28,女,160.6,67.7,减重,STUDENT,2025-05-12T09:32:47.604305
210,wanlei210,庞鑫,yangjie@example.com,14782841973,45,女,156.0,45.7,减脂,STUDENT,2025-03-23T09:32:47.604567
211,ping61211,杨萍,xjiang@example.org,15188108400,49,女,157.6,50.3,减脂,STUDENT,2025-11-24T09:32:47.604816
212,min87212,梅丽华,uyin@example.net,15819511725,38,女,162.2,71.8,减脂,STUDENT,2025-09-15T09:32:47.605071
213,xiaduan213,魏文,gongping@example.net,18892119733,42,男,177.6,73.1,减重,STUDENT,2025-03-28T09:32:47.605317
214,fang61214,邓莉,zhuyan@example.net,13167693944,47,男,180.0,74.6,减脂,STUDENT,2025-08-20T09:32:47.605656
215,yan71215,王健,wei74@example.org,13262497741,26,男,173.9,80.1,增肌,STUDENT,2025-05-26T09:32:47.605864
216,gangren216,阳刚,zengyan@example.org,13353508700,26,女,168.2,55.7,增肌,STUDENT,2025-05-12T09:32:47.606048
217,kcui217,张晶,shenna@example.org,15810705538,55,女,172.3,74.7,增肌,STUDENT,2025-02-26T09:32:47.606227
218,xiuying53218,王波,sugang@example.net,13241852633,50,男,166.4,85.2,增肌,STUDENT,2025-05-27T09:32:47.606402
