user_id,username,real_name,email,phone,age,gender,height_cm,initial_weight_kg,bmi,fitness_goal,member_type,join_date,role
30,ming8529,刘浩,nfan@example.org,13549530194,18,女,161.7,65.1,24.9,减重,季卡,2024-02-06,STUDENT
31,huping30,秦秀荣,chao15@example.net,18272844978,34,男,169.1,67.1,23.4,增肌,年卡,2024-05-11,STUDENT
32,min0531,蔡淑英,gangfu@example.com,18262295835,33,女,154.5,43.9,18.4,减重,月卡,2024-10-07,STUDENT
33,wxue32,党萍,yanmo@example.net,14536422663,32,女,164.1,70.2,26.1,增肌,月卡,2024-02-22,STUDENT
34,ming4133,成芳,fang18@example.com,13378216414,57,男,171.6,79.5,27.0,减脂,季卡,2025-09-02,STUDENT
35,xiulanyuan34,杜玲,changfang@example.org,15197595524,21,女,161.8,52.5,20.1,减重,月卡,2024-09-05,STUDENT
36,yang1135,林璐,jpeng@example.com,13607980138,19,女,161.8,69.7,26.6,增肌,年卡,2025-09-13,STUDENT
37,duanguiying36,宋建军,yangguiying@example.com,15568013297,18,男,171.8,84.7,28.7,塑形,年卡,2025-07-05,STUDENT
38,mingcheng37,卢秀华,wdu@example.com,15755397735,33,男,156.3,64.6,26.5,增肌,次卡,2025-07-07,STUDENT
39,rgu38,孙梅,yangfan@example.org,15660132924,32,女,160.4,54.3,21.1,塑形,年卡,2025-03-05,STUDENT
40,xiuying2639,仲志强,utian@example.net,18154945615,34,女,160.5,43.8,17.0,减重,季卡,2025-10-24,STUDENT
41,gqian40,贾欣,jun68@example.net,18066744748,34,男,170.7,73.0,25.1,增肌,月卡,2024-05-03,STUDENT
42,xiexiuying41,熊琳,xia66@example.org,15296473461,34,男,180.9,73.4,22.4,减重,年卡,2025-06-15,STUDENT
43,vtang42,苏秀梅,lizhao@example.net,18294991411,19,男,167.1,62.8,22.5,减脂,次卡,2024-05-18,STUDENT
44,gang9843,孙斌,yong27@example.net,13831219042,18,男,177.5,78.7,25.0,减脂,年卡,2024-07-05,STUDENT
45,juan2044,高桂英,yongli@example.com,18168594088,30,男,168.8,72.8,25.5,减脂,季卡,2025-03-26,STUDENT
46,yanli45,徐欣,weilin@example.net,18995771685,30,女,160.5,64.1,24.9,减重,年卡,2025-10-09,STUDENT
47,na1746,杨平,jlei@example.net,18791026206,19,男,167.8,64.8,23.0,减脂,年卡,2025-08-09,STUDENT
48,tshi47,胡阳,min52@example.net,15158487209,47,男,169.6,56.4,19.6,减重,月卡,2024-06-14,STUDENT
49,gangjiang48,张杰,taofang@example.org,18898474303,45,男,173.8,74.8,24.8,减脂,年卡,2024-02-12,STUDENT
50,qiang1649,王桂荣,csun@example.net,18086741283,20,女,160.0,54.5,21.3,减重,月卡,2024-06-04,STUDENT
51,pingxiao50,谢帅,vkang@example.net,13724880832,22,男,163.5,60.8,22.7,增肌,季卡,2024-03-13,STUDENT
52,xiulanqiu51,罗桂香,chao18@example.com,13289533436,54,女,158.3,49.1,19.6,减重,次卡,2025-10-31,STUDENT
53,hutao52,王淑华,ocui@example.com,15295155005,24,女,159.2,58.8,23.2,减重,季卡,2025-08-11,STUDENT
54,zhuli53,章俊,yan08@example.net,13905902691,40,男,183.3,82.4,24.5,增肌,年卡,2024-10-11,STUDENT
55,kjiang54,阳萍,jing98@example.org,18960565790,27,男,173.5,71.6,23.8,塑形,年卡,2025-07-23,STUDENT
56,txiao55,徐秀芳,jzhu@example.com,15074197151,31,男,160.5,61.6,23.9,减脂,月卡,2024-12-14,STUDENT
57,jing3456,祁龙,yang10@example.com,15817422734,46,女,160.3,75.5,29.4,减重,季卡,2025-09-08,STUDENT
58,zhaona57,孙鑫,dfang@example.com,13738814672,34,女,159.0,57.9,22.9,塑形,年卡,2025-04-24,STUDENT
59,lsun58,林飞,zhangyong@example.com,18092027773,48,女,159.8,47.2,18.5,减重,年卡,2025-01-16,STUDENT
60,ryao59,宋帆,xiafang@example.net,15569712099,42,男,178.9,84.0,26.3,减重,年卡,2025-09-03,STUDENT
61,guiyingsun60,王杰,ichen@example.net,18188195110,26,女,164.0,51.8,19.3,减重,年卡,2024-09-07,STUDENT
62,gang9961,王小红,li76@example.com,13635324756,29,男,180.4,64.4,19.8,减重,月卡,2025-01-20,STUDENT
63,chaochang62,郭琳,juan73@example.org,15594090829,27,女,162.9,75.9,28.6,减重,年卡,2024-01-27,STUDENT
64,liaoyan63,郭桂花,fang19@example.com,13218152205,64,女,155.0,48.8,20.3,塑形,月卡,2025-03-30,STUDENT
65,rdu64,黄鹏,weigong@example.com,13005287865,22,男,172.6,67.0,22.5,减重,季卡,2025-02-04,STUDENT
66,juanbai65,骆柳,zengyang@example.org,14591561770,34,男,162.7,64.1,24.2,减重,年卡,2025-04-06,STUDENT
67,na8666,谭军,dxie@example.com,13705334472,24,男,165.6,69.7,25.4,减脂,年卡,2024-02-05,STUDENT
68,junzhu67,王倩,yong83@example.com,18047042389,24,男,166.5,79.4,28.6,塑形,次卡,2024-03-24,STUDENT
69,lei1068,徐飞,junzhao@example.org,13602868918,27,女,156.1,51.2,21.0,减脂,年卡,2025-01-22,STUDENT
70,fangyuan69,李利,gang69@example.net,13561307510,30,男,176.9,63.5,20.3,减重,年卡,2024-11-29,STUDENT
71,gaomin70,陈林,dengguiying@example.com,13750317885,38,女,161.1,67.3,25.9,减脂,年卡,2025-02-14,STUDENT
72,xiachen71,董龙,taoqian@example.net,18535992590,32,女,152.0,52.1,22.6,减脂,季卡,2025-05-18,STUDENT
73,na2572,徐帅,taozhong@example.org,15527827746,28,男,173.6,79.4,26.3,减重,年卡,2024-03-28,STUDENT
74,yanyan73,连雷,xiuying48@example.org,14584806614,29,女,153.8,42.7,18.0,减重,月卡,2025-11-27,STUDENT
75,weilai74,邵璐,zhuyong@example.net,15982893508,25,男,175.1,76.3,24.9,减脂,年卡,2024-05-12,STUDENT
76,jingzou75,程辉,qiang56@example.net,18881542650,24,女,161.3,59.9,23.0,减重,月卡,2025-12-17,STUDENT
77,qiaoping76,李兰英,tao19@example.org,13037741858,47,女,156.6,55.7,22.7,减重,年卡,2024-07-10,STUDENT
78,haoxia77,张建华,sunxiulan@example.com,15333393212,34,男,173.8,66.0,21.9,塑形,月卡,2025-08-08,STUDENT
79,xiangli78,许宇,sunyang@example.net,15619477316,44,女,169.3,67.2,23.4,塑形,年卡,2024-04-04,STUDENT
80,taoxia79,陈玉华,jiangna@example.net,15336997885,44,女,154.0,56.9,24.0,增肌,年卡,2025-07-13,STUDENT
81,elei80,尚华,elin@example.com,15025041792,43,女,155.1,58.6,24.4,减重,季卡,2024-03-10,STUDENT
82,qiangqin81,王辉,yuanxia@example.com,13217267012,34,女,165.8,53.7,19.5,减脂,季卡,2025-10-04,STUDENT
83,lkang82,张晨,shenyong@example.com,15797800682,39,女,164.8,63.1,23.2,减重,年卡,2025-10-01,STUDENT
84,nma83,李秀珍,zhengxiuying@example.com,13315374272,21,女,164.1,74.6,27.7,减脂,年卡,2025-10-18,STUDENT
85,zhongjing84,韩桂芳,zhangjun@example.net,18231180943,31,女,158.8,49.8,19.7,减脂,季卡,2024-10-18,STUDENT
86,chengtao85,吴飞,iye@example.com,15687097708,35,男,166.7,59.9,21.6,增肌,年卡,2024-11-28,STUDENT
87,tao7486,张涛,jieqin@example.com,18909394368,31,女,159.6,58.7,23.0,增肌,年卡,2024-10-19,STUDENT
88,guiying4187,丁晶,yzou@example.com,13869846321,34,男,173.7,79.9,26.5,减脂,季卡,2024-08-12,STUDENT
89,kongtao88,张娜,jing20@example.net,14503317186,23,女,160.1,67.5,26.4,增肌,年卡,2025-08-14,STUDENT
90,zengguiying89,郑娟,xiashi@example.net,13355279468,64,男,170.4,93.4,32.2,塑形,年卡,2024-02-13,STUDENT
91,cuijie90,曹桂香,linming@example.com,18158574163,24,男,175.8,66.2,21.4,增肌,月卡,2025-03-31,STUDENT
92,taoliu91,陈凤英,gfu@example.com,15261547364,29,女,154.6,56.1,23.4,减重,年卡,2024-11-29,STUDENT
93,xiulan3692,高梅,jun48@example.net,15958912033,32,女,158.9,60.9,24.1,增肌,季卡,2024-06-18,STUDENT
94,hjin93,王英,cgu@example.net,13804195256,23,男,174.8,72.7,23.8,减脂,年卡,2024-02-24,STUDENT
95,xia7894,李建,li55@example.com,13197606619,18,男,166.9,54.2,19.5,减重,月卡,2025-07-19,STUDENT
96,yeyong95,周红霞,jun37@example.org,18937017733,25,男,169.3,76.2,26.6,减脂,季卡,2025-04-04,STUDENT
97,shiqiang96,刘静,yangye@example.net,18907539881,38,男,173.3,60.8,20.3,增肌,月卡,2025-02-07,STUDENT
98,iluo97,韦玉英,chao24@example.org,13745178102,18,女,160.9,59.9,23.2,减脂,次卡,2024-12-03,STUDENT
99,qiang5698,许洁,wzhong@example.org,15844967721,29,男,166.7,68.0,24.5,减脂,年卡,2025-04-18,STUDENT
100,qiangyan99,方俊,yujing@example.com,13205983623,22,男,172.3,61.1,20.6,增肌,年卡,2025-11-10,STUDENT
101,gongxia100,马杨,ejin@example.net,18015303480,32,女,161.8,62.0,23.7,减重,年卡,2025-12-10,STUDENT
102,ycheng101,刘桂香,chao75@example.com,15145455163,43,男,178.5,86.5,27.2,减脂,季卡,2024-09-08,STUDENT
103,tliu102,蒋建平,daiping@example.net,15901385267,42,男,163.7,56.8,21.2,增肌,次卡,2025-03-21,STUDENT
104,pingdu103,王丽娟,shaoyang@example.net,13018818726,44,女,162.6,62.2,23.5,减脂,年卡,2024-04-25,STUDENT
105,ulu104,陈丹,xiuyingzhang@example.com,15858487766,29,男,175.1,107.3,35.0,减重,季卡,2024-09-03,STUDENT
106,fangding105,郭桂荣,xiuyinglai@example.com,15079701767,32,女,162.9,67.4,25.4,减重,年卡,2025-06-19,STUDENT
107,xiulan15106,喻鑫,pinggao@example.com,18207857528,31,女,164.8,65.0,24.0,减重,年卡,2025-03-15,STUDENT
108,guiying84107,刘玉英,ganglu@example.net,14785349482,34,男,170.1,76.0,26.3,减重,年卡,2024-08-09,STUDENT
109,liangjie108,杨雷,weichao@example.org,18240772260,29,女,156.1,51.9,21.3,减脂,季卡,2025-12-05,STUDENT
110,jzhou109,艾琴,linlei@example.com,18556110637,21,女,157.6,55.2,22.2,减脂,季卡,2024-05-06,STUDENT
111,zhengchao110,王建军,bfan@example.org,15139450036,34,女,171.6,50.0,17.0,减脂,年卡,2025-01-18,STUDENT
112,nhao111,杨旭,gujie@example.net,15679221711,33,女,163.4,45.8,17.2,减重,季卡,2025-06-08,STUDENT
113,jiatao112,韦霞,guiyingtang@example.org,13078337503,34,男,169.2,78.0,27.3,减重,年卡,2025-03-14,STUDENT
114,ijiang113,朱飞,jyang@example.com,13481831711,44,女,160.3,48.2,18.8,塑形,年卡,2025-02-22,STUDENT
115,fangguo114,刘洋,gang24@example.com,13867997142,20,女,156.4,58.8,24.0,减重,年卡,2025-03-17,STUDENT
116,liwei115,曾瑞,liaochao@example.net,13039320948,18,女,156.3,55.4,22.6,减脂,月卡,2024-08-07,STUDENT
117,ping77116,邝浩,guiying14@example.org,18142537602,18,女,160.2,51.5,20.0,减脂,季卡,2025-06-17,STUDENT
118,juan94117,张淑珍,yongqiao@example.net,15135428119,60,女,170.7,69.7,23.9,减重,月卡,2024-08-06,STUDENT
119,bpan118,王东,tao42@example.com,14547369145,18,男,159.8,62.8,24.6,减重,年卡,2025-02-14,STUDENT
120,nacao119,苟雷,shaoxiuying@example.com,18901477902,21,男,168.0,75.0,26.6,减脂,季卡,2024-04-21,STUDENT
121,juan38120,帅淑华,chao79@example.com,18680351000,39,女,156.0,52.7,21.7,减脂,季卡,2024-04-29,STUDENT
122,pbai121,孙燕,leifang@example.com,14587102746,60,男,175.0,81.5,26.6,减脂,年卡,2025-05-24,STUDENT
123,hfeng122,刘淑珍,jie66@example.net,18577597475,40,男,164.8,62.5,23.0,减重,月卡,2025-10-07,STUDENT
124,xiuyingkong123,黎晨,guoguiying@example.org,15917457847,24,女,157.6,49.8,20.0,减脂,季卡,2025-11-19,STUDENT
125,tiangang124,杨丽,nchang@example.com,13476854419,22,女,168.8,66.2,23.2,减重,季卡,2025-03-27,STUDENT
126,juan85125,孙飞,wei37@example.org,15874106815,45,男,164.4,72.3,26.8,减脂,年卡,2024-02-28,STUDENT
127,pyin126,陈宇,jinjun@example.org,15095409680,22,男,184.7,92.5,27.1,减重,月卡,2025-02-11,STUDENT
128,zoujun127,王婷婷,sunmin@example.com,15392189382,35,女,152.4,47.7,20.5,减脂,季卡,2025-02-14,STUDENT
129,shuang128,刘欢,zhouxiuying@example.org,13540247623,40,女,166.3,55.0,19.9,减脂,年卡,2024-10-06,STUDENT
130,bxiang129,萧帆,ming60@example.net,18252272497,45,女,162.2,64.0,24.3,减重,季卡,2024-02-01,STUDENT
131,taoqiu130,覃瑜,qiantao@example.com,15767746621,45,男,166.4,66.0,23.8,塑形,年卡,2025-03-22,STUDENT
132,linli131,龙红霞,zxiao@example.com,13883297004,28,女,150.0,42.6,18.9,减脂,季卡,2025-03-13,STUDENT
133,jiangxiuying132,殷阳,hena@example.org,13394056306,24,女,158.7,46.0,18.3,塑形,季卡,2024-10-30,STUDENT
134,leitang133,李慧,mxia@example.org,18913890751,27,男,181.8,65.1,19.7,减重,年卡,2025-03-02,STUDENT
135,jie12134,李玉梅,huangfang@example.org,13869218694,42,男,169.4,70.0,24.4,减脂,季卡,2025-01-25,STUDENT
136,yong43135,李建国,guiyingmao@example.com,18180085728,24,男,180.6,64.3,19.7,减脂,年卡,2024-10-25,STUDENT
137,ghao136,杨瑜,bzhu@example.org,18816693837,23,女,165.8,60.6,22.0,减脂,年卡,2025-05-28,STUDENT
138,zguo137,张旭,panjun@example.net,15033676955,28,女,155.1,56.3,23.4,减脂,年卡,2025-08-20,STUDENT
139,xiaona138,周淑华,xiuyingwen@example.org,13091872191,21,男,173.2,66.6,22.2,减重,月卡,2024-10-31,STUDENT
140,leiyao139,徐淑兰,leichang@example.org,18199475435,19,女,160.3,53.6,20.8,塑形,年卡,2025-07-18,STUDENT
141,phao140,赵秀芳,guiying34@example.net,13364112537,30,女,160.6,61.8,24.0,减脂,季卡,2024-08-26,STUDENT
142,changyan141,高丽华,fang19@example.net,18209529924,20,女,167.9,51.6,18.3,减重,年卡,2025-08-05,STUDENT
143,fmeng142,郎淑兰,changjuan@example.org,15993988196,50,女,170.7,49.5,17.0,减重,年卡,2025-03-24,STUDENT
144,sliao143,李秀英,jiagang@example.org,13604876403,40,女,159.2,60.3,23.8,增肌,年卡,2024-02-16,STUDENT
145,ming35144,刘华,xiacui@example.com,13477156336,28,女,161.4,52.4,20.1,减脂,季卡,2024-06-05,STUDENT
146,chenjing145,俞华,wanyang@example.org,13231247434,42,女,159.0,51.9,20.5,塑形,年卡,2025-04-22,STUDENT
147,ming10146,温桂香,jfang@example.net,13131769838,29,女,157.1,60.6,24.5,减重,年卡,2024-11-27,STUDENT
148,guiyingqian147,王桂香,xiulan41@example.net,13895191328,28,女,161.8,52.1,19.9,塑形,月卡,2024-04-27,STUDENT
149,ming48148,李琴,xiajun@example.com,18066679347,27,女,164.5,62.0,22.9,减重,次卡,2025-12-07,STUDENT
150,yongxiang149,邱建军,qliao@example.net,15179423483,42,男,176.9,81.0,25.9,减重,年卡,2025-03-26,STUDENT
151,leilu150,刘楠,rzeng@example.com,13298707865,32,男,167.0,62.3,22.3,增肌,年卡,2024-06-24,STUDENT
152,naren151,林欣,jshen@example.org,18256563954,31,女,163.7,63.9,23.8,增肌,月卡,2025-10-13,STUDENT
153,tanlei152,安芳,leizou@example.org,18231960751,22,男,171.9,71.9,24.4,增肌,季卡,2025-09-13,STUDENT
154,kqian153,黄丽丽,jun13@example.net,18920057466,37,女,166.4,56.0,20.2,减重,季卡,2025-11-23,STUDENT
155,chenming154,张涛,jing68@example.org,13612539979,18,女,162.7,56.7,21.4,减重,季卡,2025-04-16,STUDENT
156,oye155,万雪梅,weihou@example.com,18709284097,35,男,170.7,79.5,27.3,减重,月卡,2024-11-26,STUDENT
157,jingxiong156,胡兰英,min48@example.org,13053113627,39,女,164.1,65.8,24.4,塑形,月卡,2024-09-06,STUDENT
158,liuna157,庄涛,taoyao@example.net,13716227205,43,女,166.5,61.2,22.1,减脂,年卡,2024-09-02,STUDENT
159,jie74158,郭玲,fangzhao@example.net,13252101429,54,男,176.1,71.5,23.1,减重,次卡,2024-04-30,STUDENT
160,guiying45159,邵荣,dmo@example.com,13299609106,32,女,161.6,56.4,21.6,减脂,季卡,2024-11-24,STUDENT
161,yong95160,李璐,yang71@example.org,18651455313,47,男,172.6,76.8,25.8,减重,季卡,2025-02-23,STUDENT
162,fangna161,查强,yan23@example.com,14588768005,60,男,167.1,84.5,30.3,塑形,年卡,2025-03-16,STUDENT
163,dongping162,张桂芳,jiajie@example.net,15668214947,18,女,155.0,44.1,18.4,增肌,次卡,2025-05-01,STUDENT
164,jing83163,苑颖,zhengli@example.net,18111255284,41,男,178.9,84.5,26.4,减脂,年卡,2024-01-28,STUDENT
165,hanguiying164,王涛,fangyao@example.com,18692116624,38,男,175.7,79.9,25.9,塑形,年卡,2025-02-09,STUDENT
166,tlin165,张浩,tangqiang@example.net,18532728785,36,女,159.9,49.4,19.3,增肌,月卡,2025-02-23,STUDENT
167,yan78166,练兰英,bhu@example.org,15089002221,32,男,172.5,65.3,22.0,减重,年卡,2024-12-13,STUDENT
168,exue167,陈亮,panping@example.net,18005422968,30,男,177.9,74.5,23.6,减重,年卡,2024-08-16,STUDENT
169,lisong168,龚秀珍,guiyingxue@example.net,15959620527,60,女,155.9,51.1,21.0,增肌,季卡,2025-10-06,STUDENT
170,junxia169,李平,elei@example.net,13821210459,21,女,162.1,53.3,20.3,塑形,年卡,2024-12-13,STUDENT
171,longyong170,吴晶,dongyan@example.org,18015071208,24,男,167.1,69.0,24.7,减重,月卡,2024-12-10,STUDENT
172,pingshi171,张金凤,xiulanliao@example.org,14558114210,40,女,161.2,53.2,20.5,增肌,次卡,2025-09-03,STUDENT
173,xiaoxiulan172,曾淑英,wei65@example.net,18673944027,43,男,169.2,70.7,24.7,减脂,次卡,2025-01-21,STUDENT
174,liangxiulan173,金金凤,nadai@example.com,13317369523,49,男,163.3,52.7,19.8,减脂,季卡,2025-02-16,STUDENT
175,jun20174,赵岩,wei31@example.net,13007225162,37,男,167.7,65.7,23.4,减重,月卡,2024-08-05,STUDENT
176,ksong175,匡俊,houxia@example.net,13590490588,21,男,173.9,85.9,28.4,减重,季卡,2024-06-17,STUDENT
177,lei00176,欧阳东,nachang@example.net,18717004297,28,女,164.3,58.1,21.5,减脂,年卡,2024-04-01,STUDENT
178,rdu177,胡秀华,tding@example.com,13041983842,30,男,171.9,62.0,21.0,减脂,季卡,2024-09-23,STUDENT
179,mingliao178,周红,juanzheng@example.com,13557786234,61,男,171.9,68.4,23.1,塑形,季卡,2024-03-02,STUDENT
180,oyao179,陈桂芳,baichao@example.net,15785097557,32,女,161.6,51.0,19.5,减重,月卡,2024-09-13,STUDENT
181,gaoqiang180,傅刚,hma@example.com,18814426190,21,男,175.1,87.7,28.6,减重,季卡,2025-08-16,STUDENT
182,vgao181,曹倩,itao@example.com,15057776534,39,男,171.3,74.0,25.2,增肌,年卡,2024-05-01,STUDENT
183,nyao182,刘晶,yong82@example.net,14502563997,21,女,163.5,55.6,20.8,增肌,年卡,2024-04-21,STUDENT
184,guiyinglin183,花欣,qinmin@example.net,13191713213,20,男,173.3,72.2,24.0,减脂,年卡,2025-09-01,STUDENT
185,yuli184,朱倩,junhan@example.net,14553330231,36,男,172.6,64.6,21.7,减重,年卡,2025-04-23,STUDENT
186,ftan185,甘慧,fang64@example.org,13618814527,26,男,172.1,75.6,25.5,减重,月卡,2024-10-17,STUDENT
187,na46186,许玉华,bhan@example.com,13752039663,27,女,167.3,69.6,24.9,减脂,季卡,2024-04-24,STUDENT
188,mengna187,赵英,schang@example.com,18895290401,21,男,184.9,74.2,21.7,增肌,次卡,2024-02-17,STUDENT
189,maoyan188,潘博,juan43@example.org,13616466255,33,男,177.2,77.1,24.6,减重,季卡,2024-11-06,STUDENT
190,zhongtao189,石桂兰,lifu@example.org,13520309181,27,女,170.9,57.2,19.6,增肌,季卡,2025-10-01,STUDENT
191,caoming190,马强,taotao@example.com,15140594616,28,男,167.0,61.9,22.2,减重,年卡,2024-05-02,STUDENT
192,chao33191,唐欢,yang71@example.net,18947257304,31,女,150.0,46.0,20.4,塑形,年卡,2024-09-14,STUDENT
193,xiulanjin192,梁雪,tianjun@example.net,15113533249,32,男,167.4,68.6,24.5,增肌,月卡,2024-02-21,STUDENT
194,zhanglei193,尤秀珍,bchen@example.net,18823587814,44,男,174.1,89.8,29.6,减脂,年卡,2024-10-25,STUDENT
195,gongfang194,吴芳,kxu@example.com,18293827032,33,女,164.8,55.0,20.3,减脂,月卡,2024-10-11,STUDENT
196,wliang195,阎东,jing68@example.org,13850802054,30,女,155.5,56.8,23.5,塑形,年卡,2024-08-24,STUDENT
197,juanlei196,张峰,guiying39@example.net,18715204989,19,男,164.1,79.4,29.5,减脂,年卡,2024-12-06,STUDENT
198,ping60197,侯凯,baiwei@example.org,13666296936,44,男,179.1,72.5,22.6,减脂,年卡,2025-01-19,STUDENT
199,tao42198,吴超,yonglu@example.com,13521491616,42,女,151.4,59.8,26.1,增肌,次卡,2024-10-15,STUDENT
200,xia90199,黎秀云,gang49@example.org,18896040543,46,女,159.4,65.4,25.7,减脂,季卡,2024-05-10,STUDENT
201,lei00200,徐秀兰,haoping@example.org,15727405516,28,女,152.0,46.7,20.2,减重,月卡,2024-06-01,STUDENT
202,renyong201,石云,changxiuying@example.org,13773094607,30,男,172.0,71.4,24.1,增肌,年卡,2024-03-26,STUDENT
203,yang53202,施涛,gangdeng@example.net,15539970501,44,男,169.3,74.1,25.9,减脂,年卡,2025-03-24,STUDENT
204,juan15203,刘梅,kongna@example.com,13045382086,22,女,154.7,51.6,21.6,塑形,季卡,2025-06-20,STUDENT
205,xiulan28204,叶楠,yanfu@example.org,18543946313,55,女,160.6,60.7,23.5,减重,年卡,2025-11-21,STUDENT
206,zzhu205,佟浩,gaofang@example.net,13573948107,21,女,163.6,49.8,18.6,减脂,季卡,2024-12-09,STUDENT
207,ming58206,梁欣,yangjia@example.com,18748366382,31,男,162.8,73.8,27.8,增肌,月卡,2024-03-30,STUDENT
208,gang88207,张慧,xiuyingxiong@example.net,18020672621,19,女,161.7,51.6,19.8,减脂,季卡,2024-04-10,STUDENT
209,ijin208,魏桂芝,wguo@example.org,13360217087,30,男,181.3,80.0,24.3,增肌,月卡,2024-10-08,STUDENT
210,xiuyinglong209,刘秀梅,chengna@example.com,18271762264,25,女,165.9,61.1,22.2,减重,季卡,2024-04-18,STUDENT
211,ming88210,李欢,gtang@example.net,14703748645,21,女,170.3,79.1,27.3,塑形,年卡,2025-04-05,STUDENT
212,syan211,邱梅,ilu@example.net,18577453830,27,男,170.5,78.2,26.9,减脂,季卡,2025-08-12,STUDENT
213,xiaxiang212,史秀华,luoyan@example.com,13849238128,29,女,163.2,69.6,26.1,减重,年卡,2025-11-09,STUDENT
214,xiulan56213,王阳,dliang@example.com,13905046146,33,男,166.2,72.0,26.1,增肌,年卡,2024-05-14,STUDENT
215,baigang214,冯丽,ming47@example.net,13325129098,32,女,165.3,46.4,17.0,减重,月卡,2025-01-24,STUDENT
216,jie68215,俞秀芳,gaochao@example.org,15728277973,25,女,154.1,40.4,17.0,减重,年卡,2025-04-17,STUDENT
217,wfu216,刘宁,gangsu@example.net,15975476031,32,男,170.4,75.9,26.2,减重,季卡,2025-01-09,STUDENT
218,songxiulan217,孙畅,jzeng@example.org,15146750023,20,男,181.0,79.4,24.2,减脂,月卡,2024-07-18,STUDENT
219,yanqin218,王龙,fangxia@example.net,18946549010,23,女,168.1,50.5,17.9,增肌,年卡,2025-07-24,STUDENT
220,jieyin219,王雪梅,junxu@example.com,13159881776,20,女,151.5,50.1,21.8,减重,年卡,2024-02-20,STUDENT
